"Nível Territorial (Código)","Nível Territorial","Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação","Variável (Código)","Variável","Trimestre (Código)","Trimestre","Unidade de Medida (Código)","Unidade de Medida","Força de trabalho","Força de trabalho - desocupada","Força de trabalho - ocupada","Total","PercentualDesocupapdo"
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201802","2º trimestre 2018","1572","Mil pessoas",103864,12923,90941,169241,0.124422321497343
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201803","3º trimestre 2018","1572","Mil pessoas",104783,12450,92333,169734,0.118816983671015
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201804","4º trimestre 2018","1572","Mil pessoas",104888,12152,92736,170022,0.115856914041644
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201901","1º trimestre 2019","1572","Mil pessoas",105250,13387,91863,170500,0.127192399049881
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201902","2º trimestre 2019","1572","Mil pessoas",106108,12766,93342,170864,0.12031138085724
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201903","3º trimestre 2019","1572","Mil pessoas",106315,12515,93801,171158,0.117716220665005
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201904","4º trimestre 2019","1572","Mil pessoas",106184,11632,94552,171613,0.109545694266556
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","202001","1º trimestre 2020","1572","Mil pessoas",105073,12850,92223,172354,0.122295927593197
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","202002","2º trimestre 2020","1572","Mil pessoas",96138,12791,83347,173918,0.133048326364185
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","202003","3º trimestre 2020","1572","Mil pessoas",96556,14092,82464,175121,0.14594639380256
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201201","1º trimestre 2012","1572","Mil pessoas",7187,639,6548,11765,0.088910532906637
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201202","2º trimestre 2012","1572","Mil pessoas",7393,603,6790,11844,0.0815636412822941
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201203","3º trimestre 2012","1572","Mil pessoas",7351,574,6777,11896,0.0780846143381853
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201204","4º trimestre 2012","1572","Mil pessoas",7507,551,6956,11988,0.073398161715732
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201301","1º trimestre 2013","1572","Mil pessoas",7529,646,6884,12092,0.0858015672732103
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201302","2º trimestre 2013","1572","Mil pessoas",7533,624,6908,12147,0.0828355236957388
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201303","3º trimestre 2013","1572","Mil pessoas",7463,564,6899,12241,0.0755728259413105
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201304","4º trimestre 2013","1572","Mil pessoas",7517,486,7031,12306,0.0646534521750698
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201401","1º trimestre 2014","1572","Mil pessoas",7576,585,6991,12378,0.0772175290390708
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201402","2º trimestre 2014","1572","Mil pessoas",7624,552,7072,12441,0.0724029380902413
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201403","3º trimestre 2014","1572","Mil pessoas",7689,533,7156,12571,0.0693198075172324
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201404","4º trimestre 2014","1572","Mil pessoas",7666,521,7145,12634,0.067962431515784
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201501","1º trimestre 2015","1572","Mil pessoas",7766,674,7092,12662,0.0867885655421066
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201502","2º trimestre 2015","1572","Mil pessoas",7765,664,7101,12707,0.0855119124275596
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201503","3º trimestre 2015","1572","Mil pessoas",7883,698,7185,12773,0.0885449701890143
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201504","4º trimestre 2015","1572","Mil pessoas",7889,682,7207,12859,0.0864494866269489
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201601","1º trimestre 2016","1572","Mil pessoas",7946,833,7113,12934,0.104832620186257
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201602","2º trimestre 2016","1572","Mil pessoas",7985,898,7088,13039,0.112460864120225
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201603","3º trimestre 2016","1572","Mil pessoas",7876,902,6974,13067,0.114525139664804
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201604","4º trimestre 2016","1572","Mil pessoas",7969,1015,6954,13169,0.127368553143431
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201701","1º trimestre 2017","1572","Mil pessoas",7946,1130,6816,13260,0.142209916939341
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201702","2º trimestre 2017","1572","Mil pessoas",8041,1004,7037,13338,0.124860092028355
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201703","3º trimestre 2017","1572","Mil pessoas",8104,991,7113,13467,0.122285291214215
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201704","4º trimestre 2017","1572","Mil pessoas",8178,928,7250,13537,0.113475177304965
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201801","1º trimestre 2018","1572","Mil pessoas",8106,1034,7072,13599,0.127559832223045
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201802","2º trimestre 2018","1572","Mil pessoas",8132,985,7147,13693,0.121126414166257
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201803","3º trimestre 2018","1572","Mil pessoas",8224,952,7272,13771,0.115758754863813
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201804","4º trimestre 2018","1572","Mil pessoas",8296,970,7326,13822,0.116923818707811
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201901","1º trimestre 2019","1572","Mil pessoas",8264,1081,7183,13844,0.130808325266215
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201902","2º trimestre 2019","1572","Mil pessoas",8323,985,7338,13853,0.118346749969963
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201903","3º trimestre 2019","1572","Mil pessoas",8404,986,7418,13916,0.11732508329367
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","201904","4º trimestre 2019","1572","Mil pessoas",8372,884,7489,14011,0.105590062111801
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","202001","1º trimestre 2020","1572","Mil pessoas",8382,999,7383,14071,0.119183965640659
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","202002","2º trimestre 2020","1572","Mil pessoas",7753,913,6841,14271,0.117760866761254
"2","Grande Região","1","Norte","1641","Pessoas de 14 anos ou mais de idade","202003","3º trimestre 2020","1572","Mil pessoas",7977,1042,6935,14373,0.130625548451799
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201201","1º trimestre 2012","1572","Mil pessoas",23796,2307,21489,41887,0.0969490670700958
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201202","2º trimestre 2012","1572","Mil pessoas",23822,2291,21531,41929,0.0961716060784149
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201203","3º trimestre 2012","1572","Mil pessoas",23986,2240,21745,42101,0.0933878095555741
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201204","4º trimestre 2012","1572","Mil pessoas",23788,2210,21578,42275,0.0929039852026232
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201301","1º trimestre 2013","1572","Mil pessoas",23685,2583,21102,42323,0.10905636478784
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201302","2º trimestre 2013","1572","Mil pessoas",23750,2371,21379,42383,0.0998315789473684
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201303","3º trimestre 2013","1572","Mil pessoas",23799,2128,21670,42565,0.089415521660574
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201304","4º trimestre 2013","1572","Mil pessoas",24187,1904,22283,42739,0.0787199735395047
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201401","1º trimestre 2014","1572","Mil pessoas",24356,2267,22089,42824,0.0930776810642142
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201402","2º trimestre 2014","1572","Mil pessoas",24482,2145,22337,43039,0.0876153908994363
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201403","3º trimestre 2014","1572","Mil pessoas",24532,2098,22434,43208,0.0855209522256644
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201404","4º trimestre 2014","1572","Mil pessoas",24654,2032,22623,43390,0.0824207025229172
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201501","1º trimestre 2015","1572","Mil pessoas",24748,2361,22387,43547,0.0954016486180701
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201502","2º trimestre 2015","1572","Mil pessoas",24932,2555,22377,43650,0.102478742178726
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201503","3º trimestre 2015","1572","Mil pessoas",25147,2711,22436,43791,0.107806100131228
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201504","4º trimestre 2015","1572","Mil pessoas",24811,2587,22224,43884,0.104268268106888
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201601","1º trimestre 2016","1572","Mil pessoas",24704,3153,21551,44037,0.127631152849741
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201602","2º trimestre 2016","1572","Mil pessoas",24744,3262,21482,44197,0.131829938570967
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201603","3º trimestre 2016","1572","Mil pessoas",24420,3438,20982,44412,0.140786240786241
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201604","4º trimestre 2016","1572","Mil pessoas",24507,3514,20993,44567,0.143387603541845
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201701","1º trimestre 2017","1572","Mil pessoas",24448,3967,20481,44719,0.162262761780105
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201702","2º trimestre 2017","1572","Mil pessoas",24518,3881,20637,44807,0.158291867199608
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201703","3º trimestre 2017","1572","Mil pessoas",24585,3640,20945,44949,0.148057758796014
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201704","4º trimestre 2017","1572","Mil pessoas",24677,3410,21267,44978,0.138185354783807
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201801","1º trimestre 2018","1572","Mil pessoas",24563,3901,20662,44992,0.158816105524569
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201802","2º trimestre 2018","1572","Mil pessoas",24374,3613,20761,45228,0.14823172232707
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201803","3º trimestre 2018","1572","Mil pessoas",24823,3569,21254,45333,0.143777947870926
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201804","4º trimestre 2018","1572","Mil pessoas",24810,3557,21253,45305,0.143369609028618
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201901","1º trimestre 2019","1572","Mil pessoas",24752,3777,20975,45455,0.152593729799612
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201902","2º trimestre 2019","1572","Mil pessoas",24925,3639,21286,45563,0.145997993981946
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201903","3º trimestre 2019","1572","Mil pessoas",24937,3602,21336,45585,0.14444399887717
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","201904","4º trimestre 2019","1572","Mil pessoas",24935,3383,21551,45746,0.135672749147784
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","202001","1º trimestre 2020","1572","Mil pessoas",24730,3849,20881,45945,0.155640921957137
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","202002","2º trimestre 2020","1572","Mil pessoas",21701,3491,18209,46262,0.160868162757477
"2","Grande Região","2","Nordeste","1641","Pessoas de 14 anos ou mais de idade","202003","3º trimestre 2020","1572","Mil pessoas",22020,3942,18078,46516,0.179019073569482
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201201","1º trimestre 2012","1572","Mil pessoas",42213,3345,38868,67753,0.0792409921114349
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201202","2º trimestre 2012","1572","Mil pessoas",42867,3172,39694,67984,0.0739963141810717
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201203","3º trimestre 2012","1572","Mil pessoas",42875,2945,39930,68210,0.0686880466472303
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201204","4º trimestre 2012","1572","Mil pessoas",42826,2836,39990,68390,0.0662214542567599
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201301","1º trimestre 2013","1572","Mil pessoas",42941,3247,39694,68705,0.0756153792412846
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201302","2º trimestre 2013","1572","Mil pessoas",43420,3132,40287,68754,0.0721326577614003
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201303","3º trimestre 2013","1572","Mil pessoas",43464,3021,40443,68927,0.0695057979017118
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201304","4º trimestre 2013","1572","Mil pessoas",42991,2676,40316,69228,0.0622455862855016
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201401","1º trimestre 2014","1572","Mil pessoas",43106,3039,40068,69439,0.0705006263629193
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201402","2º trimestre 2014","1572","Mil pessoas",43365,2971,40393,69886,0.0685114723855644
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201403","3º trimestre 2014","1572","Mil pessoas",43320,2973,40347,70162,0.0686288088642659
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201404","4º trimestre 2014","1572","Mil pessoas",43547,2874,40673,70473,0.0659976577031713
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201501","1º trimestre 2015","1572","Mil pessoas",43800,3497,40303,70780,0.0798401826484018
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201502","2º trimestre 2015","1572","Mil pessoas",44161,3657,40504,70908,0.0828106247594031
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201503","3º trimestre 2015","1572","Mil pessoas",44347,4006,40342,70976,0.0903330552235777
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201504","4º trimestre 2015","1572","Mil pessoas",44695,4284,40411,71136,0.0958496476115897
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201601","1º trimestre 2016","1572","Mil pessoas",45008,5119,39889,71328,0.113735335940277
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201602","2º trimestre 2016","1572","Mil pessoas",45482,5324,40158,71646,0.117057297392375
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201603","3º trimestre 2016","1572","Mil pessoas",45503,5587,39916,71543,0.122783113201327
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201604","4º trimestre 2016","1572","Mil pessoas",45839,5657,40182,71855,0.123410196557517
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201701","1º trimestre 2017","1572","Mil pessoas",46285,6553,39732,71845,0.141579345360268
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201702","2º trimestre 2017","1572","Mil pessoas",46670,6339,40331,72250,0.135826012427684
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201703","3º trimestre 2017","1572","Mil pessoas",46996,6220,40775,72392,0.13235168950549
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201704","4º trimestre 2017","1572","Mil pessoas",46978,5928,41050,72533,0.126186725701392
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201801","1º trimestre 2018","1572","Mil pessoas",47126,6493,40633,72476,0.137779569664304
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201802","2º trimestre 2018","1572","Mil pessoas",47288,6249,41039,72817,0.132147690746067
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201803","3º trimestre 2018","1572","Mil pessoas",47514,5938,41576,73028,0.124973691964474
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201804","4º trimestre 2018","1572","Mil pessoas",47375,5742,41634,73189,0.121203166226913
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201901","1º trimestre 2019","1572","Mil pessoas",47663,6300,41362,73395,0.132177999706271
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201902","2º trimestre 2019","1572","Mil pessoas",48086,5964,42122,73572,0.124027783554465
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201903","3º trimestre 2019","1572","Mil pessoas",48162,5731,42431,73683,0.11899422781446
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","201904","4º trimestre 2019","1572","Mil pessoas",48068,5462,42605,73833,0.113630689856037
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","202001","1º trimestre 2020","1572","Mil pessoas",47444,5894,41550,74180,0.124230671950089
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","202002","2º trimestre 2020","1572","Mil pessoas",43297,6015,37281,74719,0.138924174885096
"2","Grande Região","3","Sudeste","1641","Pessoas de 14 anos ou mais de idade","202003","3º trimestre 2020","1572","Mil pessoas",43470,6673,36797,75374,0.153508166551645
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201201","1º trimestre 2012","1572","Mil pessoas",14596,750,13846,22864,0.0513839408057002
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201202","2º trimestre 2012","1572","Mil pessoas",14800,713,14087,22948,0.0481756756756757
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201203","3º trimestre 2012","1572","Mil pessoas",14778,633,14145,23042,0.0428339423467316
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201204","4º trimestre 2012","1572","Mil pessoas",14823,586,14237,23166,0.0395331579302435
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201301","1º trimestre 2013","1572","Mil pessoas",14945,712,14233,23267,0.0476413516226163
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201302","2º trimestre 2013","1572","Mil pessoas",14991,639,14352,23298,0.0426255753452071
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201303","3º trimestre 2013","1572","Mil pessoas",15002,616,14386,23372,0.0410611918410879
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201304","4º trimestre 2013","1572","Mil pessoas",15024,574,14450,23447,0.0382055378061768
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201401","1º trimestre 2014","1572","Mil pessoas",15047,657,14390,23444,0.0436631886754835
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201402","2º trimestre 2014","1572","Mil pessoas",15050,621,14429,23599,0.0412624584717608
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201403","3º trimestre 2014","1572","Mil pessoas",15114,638,14476,23684,0.0422125181950509
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201404","4º trimestre 2014","1572","Mil pessoas",15105,569,14537,23766,0.0376696458126448
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201501","1º trimestre 2015","1572","Mil pessoas",15225,776,14449,23852,0.0509688013136289
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201502","2º trimestre 2015","1572","Mil pessoas",15281,843,14438,23882,0.0551665466919704
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201503","3º trimestre 2015","1572","Mil pessoas",15287,916,14372,23946,0.0599201936285733
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201504","4º trimestre 2015","1572","Mil pessoas",15488,882,14607,24020,0.0569473140495868
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201601","1º trimestre 2016","1572","Mil pessoas",15584,1145,14439,24139,0.0734727926078029
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201602","2º trimestre 2016","1572","Mil pessoas",15565,1251,14313,24209,0.0803726309026662
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201603","3º trimestre 2016","1572","Mil pessoas",15514,1224,14290,24267,0.0788964805981694
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201604","4º trimestre 2016","1572","Mil pessoas",15622,1201,14421,24290,0.0768787607220586
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201701","1º trimestre 2017","1572","Mil pessoas",15803,1468,14335,24397,0.0928937543504398
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201702","2º trimestre 2017","1572","Mil pessoas",15768,1323,14445,24400,0.0839041095890411
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201703","3º trimestre 2017","1572","Mil pessoas",15801,1247,14553,24486,0.0789190557559648
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201704","4º trimestre 2017","1572","Mil pessoas",15867,1222,14645,24544,0.0770151887565387
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201801","1º trimestre 2018","1572","Mil pessoas",15735,1329,14406,24572,0.0844613918017159
"2","Grande Região","4","Sul","1641","Pessoas de 14 anos ou mais de idade","201802","2º trimestre 2018","1572","Mil pessoas",15648,1277,14371,24621,0.081607873210634
